days,date,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained
3d,2/24/19,Apex Legends,"721,000,000",37567920,261986,13818,171900,166854,8696,19.19,312421,12830548
3d,2/24/19,League of Legends,"617,000,000",11291820,304275,3727,44007,142919,2613,54.68,157900,13305941
3d,2/24/19,Fortnite,"606,000,000",48277920,658887,20622,210696,140227,11175,12.55,734182,11720190
3d,2/24/19,Counter-Strike: Global Offensive,"578,000,000",4760820,465074,2130,26275,133801,1102,121.41,139861,11525834
3d,2/24/19,Dota 2,"428,000,000",3242700,220070,1338,11110,98987,750,131.87,55292,7315769
3d,2/24/19,Just Chatting,"354,000,000",5005260,168006,1654,30861,81864,1158,70.66,245732,8489744
3d,2/24/19,Overwatch,"264,000,000",4316520,234834,1544,22630,61037,999,61.09,57365,4303588
3d,2/24/19,Anthem,"112,000,000",5456460,52056,2489,19114,25976,1263,20.57,22902,2471452
3d,2/24/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"111,000,000",4701780,57527,1539,17747,25739,1088,23.65,62453,2487034
3d,2/24/19,Grand Theft Auto V,"97,292,760",2406240,68787,1159,9645,22521,557,40.43,35998,1453415
3d,2/24/19,FIFA 19,"96,308,460",1794300,76631,784,10018,22293,415,53.67,48265,1785222
3d,2/24/19,Hearthstone,"91,234,080",798600,50848,264,3572,21119,184,114.24,10390,1316732
3d,2/24/19,World of Warcraft,"86,054,040",4154460,57898,2360,14239,19919,961,20.71,18957,2461788
3d,2/24/19,Call of Duty: Black Ops 4,"69,057,960",5681700,46310,2229,23940,15985,1315,12.15,35161,1193052
3d,2/24/19,Magic: The Gathering,"50,176,020",516180,35253,182,2112,11614,119,97.21,7044,658703
3d,2/24/19,Metro Exodus,"46,455,180",1619340,70964,662,6895,10753,374,28.69,9490,986219
3d,2/24/19,Super Smash Bros. Ultimate,"43,878,660",754620,40053,403,3475,10157,174,58.15,18359,889273
3d,2/24/19,Dead by Daylight,"42,734,040",2158320,23601,727,9579,9892,499,19.8,13841,630912
3d,2/24/19,Music & Performing Arts,"40,147,440",1372020,15560,421,3401,9293,317,29.26,24459,431953
3d,2/24/19,Old School RuneScape,"37,096,200",727920,23763,264,2571,8587,168,50.96,11397,448293
3d,2/24/19,Minecraft,"36,687,900",2205300,32959,898,10693,8492,510,16.64,20438,589692
3d,2/24/19,Tom Clancy's Rainbow Six: Siege,"34,659,360",4372260,13113,1700,24431,8023,1012,7.93,35834,639987
3d,2/24/19,Devotion,"34,106,880",307680,28515,218,1820,7895,71,110.85,7217,663419
3d,2/24/19,Slots,"33,431,400",259380,19889,97,703,7738,60,128.89,10980,179056
3d,2/24/19,Sea of Thieves,"30,850,380",1022940,50885,459,3901,7141,236,30.16,9290,363395
3d,2/24/19,Resident Evil 2,"29,831,460",1423320,16612,493,7575,6905,329,20.96,8318,597814
3d,2/24/19,Dungeons & Dragons,"26,852,880",237300,56390,196,1010,6215,54,113.16,6699,272825
3d,2/24/19,Rocket League,"25,636,200",1679220,32560,632,13119,5934,388,15.27,16553,613643
3d,2/24/19,Games + Demos,"24,287,100",220440,22509,90,1238,5622,51,110.18,2366,516856
3d,2/24/19,Talk Shows & Podcasts,"24,156,180",431820,25439,159,2390,5591,99,55.94,4755,797055
3d,2/24/19,Warcraft III: The Frozen Throne,"24,051,360",210720,25581,73,586,5567,48,114.14,1677,313940
3d,2/24/19,Art,"23,484,660",1611300,11335,558,6991,5436,372,14.57,14349,387505
3d,2/24/19,Poker,"22,625,460",357180,12934,140,982,5237,82,63.34,5912,477111
3d,2/24/19,Path of Exile,"21,872,760",393120,17894,146,1187,5063,91,55.64,2942,343037
3d,2/24/19,StarCraft II,"21,445,020",417420,12767,142,1648,4964,96,51.38,4525,495008
3d,2/24/19,World of Tanks,"21,033,660",838800,14196,376,2900,4868,194,25.08,4787,391831
3d,2/24/19,ASMR,"17,168,340",221760,7459,71,352,3974,51,77.42,4906,189098
3d,2/24/19,Escape From Tarkov,"16,283,880",959760,8727,375,2901,3769,222,16.97,5280,290712
3d,2/24/19,Black Desert Online,"16,074,660",715020,6442,239,2100,3720,165,22.48,3705,339230
3d,2/24/19,Far Cry: New Dawn,"13,977,360",502080,10313,218,2869,3235,116,27.84,2255,233046
3d,2/24/19,Sid Meier's Civilization VI,"13,896,240",229320,10041,88,861,3216,53,60.6,2045,291483
3d,2/24/19,NBA 2K19,"13,762,560",1461900,7594,631,7448,3185,338,9.41,11874,122888
3d,2/24/19,Special Events,"13,332,240",85800,84976,47,370,3086,19,155.39,4074,451696
3d,2/24/19,ATLAS,"12,835,680",338760,5474,131,733,2971,78,37.89,2120,160508
3d,2/24/19,Tetris,"12,679,800",157980,31121,87,1181,2935,36,80.26,3538,215627
3d,2/24/19,Subnautica,"12,040,500",271800,25338,114,1366,2787,62,44.3,1551,136127
3d,2/24/19,Smite,"11,997,720",711060,8360,293,3094,2777,164,16.87,3148,156287
3d,2/24/19,Dark Souls III,"11,243,040",581100,13448,206,2636,2602,134,19.35,2850,166474
3d,2/24/19,Destiny 2,"11,074,380",1412340,4598,538,5909,2563,326,7.84,5815,134127
3d,2/24/19,Travel & Outdoors,"10,865,040",376380,32854,166,2978,2515,87,28.87,4669,317066
3d,2/25/19,League of Legends,"713,000,000",11744640,304275,3727,44635,165034,2718,60.7,167834,14792493
3d,2/25/19,Apex Legends,"683,000,000",38178840,240816,12238,169855,158208,8837,17.9,290120,12369973
3d,2/25/19,Fortnite,"667,000,000",54233940,658887,20622,227345,154350,12554,12.29,797832,12966210
3d,2/25/19,Counter-Strike: Global Offensive,"529,000,000",5143620,465074,2130,27432,122558,1190,102.93,126824,9944416
3d,2/25/19,Dota 2,"467,000,000",3362880,272771,1338,11275,108116,778,138.89,51545,7605234
3d,2/25/19,Just Chatting,"363,000,000",5139480,168006,1654,31264,84134,1189,70.72,219226,9022900
3d,2/25/19,Overwatch,"356,000,000",4438800,234834,1485,22639,82413,1027,80.21,63742,5534186
3d,2/25/19,FIFA 19,"115,000,000",1925580,92237,840,9927,26651,445,59.79,58149,2427995
3d,2/25/19,Grand Theft Auto V,"110,000,000",2730840,75579,1159,10642,25364,632,40.12,40939,1707882
3d,2/25/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"108,000,000",4883640,56288,1539,17881,25069,1130,22.18,63484,2494185
3d,2/25/19,Anthem,"108,000,000",6428760,52056,2489,20689,25014,1488,16.81,22953,2503816
3d,2/25/19,World of Warcraft,"94,317,720",4121400,57898,2507,13912,21832,954,22.88,19670,2742285
3d,2/25/19,Super Smash Bros. Ultimate,"84,112,620",773280,91075,403,3516,19470,179,108.77,29675,1870512
3d,2/25/19,Hearthstone,"82,461,300",785520,36466,264,3502,19088,181,104.98,10328,1245021
3d,2/25/19,Magic: The Gathering,"69,348,420",493620,60503,181,2073,16052,114,140.49,7565,715964
3d,2/25/19,Call of Duty: Black Ops 4,"63,664,740",6026760,46310,2232,24474,14737,1395,10.56,37770,1028709
3d,2/25/19,Dead by Daylight,"42,483,060",2231220,17472,727,9713,9834,516,19.04,14278,630447
3d,2/25/19,Old School RuneScape,"39,388,260",753300,29735,264,2566,9117,174,52.29,17238,583547
3d,2/25/19,Music & Performing Arts,"38,126,220",1402020,15560,421,3427,8825,324,27.19,15765,418240
3d,2/25/19,Tom Clancy's Rainbow Six: Siege,"38,092,800",4769100,18237,1700,25944,8817,1103,7.99,34500,696790
3d,2/25/19,Sea of Thieves,"37,949,640",1096680,30925,459,4079,8784,253,34.6,7172,439206
3d,2/25/19,Metro Exodus,"37,011,780",1555920,70964,632,6456,8567,360,23.79,7682,734192
3d,2/25/19,Resident Evil 2,"35,710,320",1462140,35416,494,7513,8266,338,24.42,10045,789380
3d,2/25/19,Minecraft,"34,844,460",2436540,21988,898,11549,8065,564,14.3,24098,689086
3d,2/25/19,Devotion,"34,053,540",303120,28515,218,1790,7882,70,112.34,7717,633008
3d,2/25/19,Rocket League,"32,836,560",1745760,32560,632,13394,7601,404,18.81,19008,646652
3d,2/25/19,Warcraft III: The Frozen Throne,"28,353,060",222720,29556,84,638,6563,51,127.3,1973,399555
3d,2/25/19,Games + Demos,"28,190,880",234780,25627,90,1246,6525,54,120.07,3382,547237
3d,2/25/19,Slots,"27,958,140",259860,17285,97,708,6471,60,107.59,2295,194283
3d,2/25/19,Poker,"26,603,160",379380,19646,201,981,6158,87,70.12,6227,538685
3d,2/25/19,Art,"26,165,100",1574400,11335,531,6916,6056,364,16.62,15836,433235
3d,2/25/19,Dungeons & Dragons,"25,498,260",299820,56390,197,1212,5902,69,85.05,6605,225341
3d,2/25/19,Talk Shows & Podcasts,"25,109,760",445800,25439,161,2518,5812,103,56.33,5913,789944
3d,2/25/19,StarCraft II,"23,064,780",452640,14799,156,1682,5339,104,50.96,5113,721548
3d,2/25/19,Path of Exile,"22,644,900",401580,17894,146,1175,5241,92,56.39,2889,367333
3d,2/25/19,World of Tanks,"22,535,520",871740,15421,376,2922,5216,201,25.85,4957,427568
3d,2/25/19,Subnautica,"19,274,940",295920,25338,114,1412,4461,68,65.14,2424,213346
3d,2/25/19,Black Desert Online,"17,736,780",753840,6442,239,2121,4105,174,23.53,4411,375605
3d,2/25/19,ASMR,"17,434,680",215040,8504,71,343,4035,49,81.08,5597,211163
3d,2/25/19,Escape From Tarkov,"17,369,280",1034760,8389,375,2921,4020,239,16.79,5813,310484
3d,2/25/19,Special Events,"16,523,820",101100,84976,47,407,3824,23,163.44,5373,618938
3d,2/25/19,Dark Souls III,"14,815,140",605580,18803,206,2686,3429,140,24.46,2996,310115
3d,2/25/19,NBA 2K19,"13,931,040",1652040,7594,667,7929,3224,382,8.43,12383,124390
3d,2/25/19,Travel & Outdoors,"13,617,780",423120,32854,166,3208,3152,97,32.18,5452,381555
3d,2/25/19,ATLAS,"13,085,520",351660,5474,131,763,3029,81,37.21,1987,160890
3d,2/25/19,Far Cry: New Dawn,"12,816,840",499800,13997,195,2841,2966,115,25.64,2386,221844
3d,2/25/19,Destiny 2,"11,698,200",1478640,4748,523,5910,2707,342,7.91,5810,139354
3d,2/25/19,Trials Rising,"11,652,600",107760,31985,62,900,2697,24,108.13,1745,211483
3d,2/25/19,Smite,"11,082,300",771540,4238,293,3229,2565,178,14.36,3099,152984
3d,2/25/19,Sid Meier's Civilization VI,"10,696,500",239580,7530,88,888,2476,55,44.65,1757,177156
3d,2/22/19,Apex Legends,"823,000,000",39256260,386866,14031,179490,190573,9087,20.97,363154,16143630
3d,2/22/19,Counter-Strike: Global Offensive,"540,000,000",4162620,472625,1761,23471,124975,963,129.7,159608,11421651
3d,2/22/19,League of Legends,"512,000,000",10645140,222108,3300,41657,118447,2464,48.07,148723,10929638
3d,2/22/19,Fortnite,"507,000,000",42743820,201920,17602,190497,117347,9894,11.86,508234,7925782
3d,2/22/19,Dota 2,"375,000,000",3128520,161087,1103,10599,86895,724,119.99,67916,7607991
3d,2/22/19,Just Chatting,"314,000,000",4617120,160029,1411,28516,72684,1068,68.01,182858,7423581
3d,2/22/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"100,000,000",4377240,57527,1405,16705,23227,1013,22.92,52267,2306524
3d,2/22/19,Call of Duty: Black Ops 4,"96,516,720",5148360,112710,2111,22999,22341,1191,18.75,45435,1856815
3d,2/22/19,Hearthstone,"89,493,780",756240,50848,247,3415,20716,175,118.34,11997,1293074
3d,2/22/19,Grand Theft Auto V,"80,566,440",2112480,53828,954,8496,18649,489,38.14,31621,1235916
3d,2/22/19,Anthem,"80,281,080",2795460,43060,1177,10080,18583,647,28.72,18737,1504127
3d,2/22/19,World of Warcraft,"78,425,760",4490040,42208,2590,14751,18154,1039,17.47,18041,1954807
3d,2/22/19,Overwatch,"60,808,800",4313940,60187,1600,22247,14076,998,14.1,36129,1133950
3d,2/22/19,Devotion,"60,582,480",373200,106816,564,2007,14023,86,162.33,14755,1417134
3d,2/22/19,FIFA 19,"59,449,080",1373400,49242,715,8664,13761,317,43.29,22066,794994
3d,2/22/19,Metro Exodus,"56,199,720",1601940,49354,662,6602,13009,370,35.08,10569,994670
3d,2/22/19,Old School RuneScape,"42,243,180",709680,24574,252,2545,9778,164,59.52,11798,439483
3d,2/22/19,Tom Clancy's Rainbow Six: Siege,"40,213,500",3978420,18651,1453,22525,9308,920,10.11,41528,660044
3d,2/22/19,Music & Performing Arts,"39,665,760",1289280,18555,379,3083,9181,298,30.77,30306,557330
3d,2/22/19,Dead by Daylight,"39,239,940",2071920,23601,665,9141,9083,479,18.94,13527,595473
3d,2/22/19,Magic: The Gathering,"38,839,800",520620,37440,190,2093,8990,120,74.6,8765,1013317
3d,2/22/19,Minecraft,"36,765,720",2033340,32959,743,9633,8510,470,18.08,18919,552421
3d,2/22/19,Talk Shows & Podcasts,"35,341,140",405240,35044,152,2240,8180,93,87.21,7315,1034412
3d,2/22/19,Slots,"34,547,940",238380,22622,93,569,7997,55,144.93,11338,175593
3d,2/22/19,Resident Evil 2,"32,174,100",1522680,18398,560,8173,7447,352,21.13,8145,461565
3d,2/22/19,Super Smash Bros. Ultimate,"29,862,300",692340,18804,378,3170,6912,160,43.13,13788,477568
3d,2/22/19,Tetris,"26,607,660",222120,31555,120,1530,6159,51,119.79,7598,370844
3d,2/22/19,Sea of Thieves,"25,632,780",928560,50885,422,3564,5933,214,27.6,9063,306488
3d,2/22/19,Far Cry: New Dawn,"25,433,820",604200,21018,256,3173,5887,139,42.1,4388,453291
3d,2/22/19,StarCraft II,"25,071,540",373440,12361,134,1487,5803,86,67.14,4782,782890
3d,2/22/19,Poker,"24,711,720",363480,12934,140,969,5720,84,67.99,6614,515386
3d,2/22/19,Art,"22,467,480",1620300,9495,558,6725,5200,375,13.87,14547,502985
3d,2/22/19,World of Tanks,"19,869,240",676980,14196,355,2448,4599,156,29.35,4095,371943
3d,2/22/19,Path of Exile,"19,506,780",380700,21449,135,1200,4515,88,51.24,2542,276429
3d,2/22/19,ASMR,"16,974,300",229140,7358,68,311,3929,53,74.08,4488,163820
3d,2/22/19,Games + Demos,"16,641,720",196200,17636,75,1148,3852,45,84.82,1518,365980
3d,2/22/19,Rocket League,"16,439,100",1573080,12663,685,12196,3805,364,10.45,12719,407307
3d,2/22/19,Escape From Tarkov,"15,939,900",885780,8727,336,2707,3689,205,18,4883,319825
3d,2/22/19,Sid Meier's Civilization VI,"15,321,420",223140,12987,94,854,3546,51,68.66,2306,289959
3d,2/22/19,Black Desert Online,"14,784,960",644820,6263,217,1918,3422,149,22.93,3741,323707
3d,2/22/19,ATLAS,"14,485,620",322260,8427,123,707,3353,74,44.95,1981,160309
3d,2/22/19,Smite,"13,360,860",681840,10306,275,2931,3092,157,19.6,3231,168355
3d,2/22/19,NBA 2K19,"12,966,660",1475580,6950,686,7575,3001,341,8.79,11020,115705
3d,2/22/19,Chess,"12,550,200",88140,8614,50,334,2905,20,142.39,3242,702395
3d,2/22/19,Destiny 2,"11,509,200",1481160,4794,617,6059,2664,342,7.77,5703,138801
3d,2/22/19,Heroes of Might and Magic III: The Shadow of Death,"11,471,820",70320,10792,33,190,2655,16,163.14,1438,182650
3d,2/22/19,Warcraft III: The Frozen Throne,"10,642,260",201360,5902,73,543,2463,46,52.85,805,119136
3d,2/22/19,Dungeons & Dragons,"10,328,520",192540,18596,176,813,2390,44,53.64,1167,697273
3d,2/22/19,Knight Online,"9,910,020",104040,10840,53,383,2293,24,95.25,10430,392693
3d,2/22/19,FINAL FANTASY XIV Online,"9,701,940",929520,10782,490,3442,2245,215,10.44,2539,160907
3d,2/26/19,League of Legends,"677,000,000",11664360,304275,3727,44703,156747,2700,58.05,166809,14590325
3d,2/26/19,Fortnite,"677,000,000",52308960,658887,20622,224669,156716,12108,12.94,769634,13050872
3d,2/26/19,Apex Legends,"668,000,000",36739860,253109,12148,164678,154739,8504,18.19,279854,12504897
